frame_id,stone_id,team,x_px,y_px
20,0,red,229,378
24,1,red,241,367
29,2,red,250,358
31,3,red,255,355
182,4,red,579,412
411,5,yellow,504,271
412,6,yellow,502,260
413,7,yellow,502,257
414,8,yellow,502,245
415,9,yellow,501,237
415,10,yellow,446,256
416,11,yellow,502,235
417,12,yellow,501,233
418,13,yellow,501,230
419,14,yellow,500,214
420,15,yellow,500,211
441,16,yellow,484,179
448,17,yellow,478,195
451,18,yellow,476,200
452,19,yellow,475,207
453,20,yellow,476,211
454,21,yellow,475,214
455,22,yellow,475,223
456,23,yellow,474,229
457,24,yellow,474,237
458,25,yellow,473,247
459,26,yellow,473,255
460,27,yellow,472,264
461,28,yellow,472,269
462,29,yellow,471,280
463,30,yellow,470,291
464,31,yellow,469,303
465,32,yellow,468,308
466,33,yellow,468,325
467,34,yellow,467,334
468,35,yellow,466,348
469,36,yellow,468,358
470,37,yellow,467,373
471,38,yellow,467,379
472,39,yellow,467,387
473,40,yellow,466,390
474,41,yellow,465,400
475,42,yellow,464,406
476,43,yellow,463,413
477,44,yellow,463,413
478,45,yellow,462,412
479,46,yellow,462,412
480,47,yellow,463,410
481,48,yellow,461,412
482,49,yellow,462,411
483,50,yellow,461,410
484,51,yellow,461,410
485,52,yellow,460,411
486,53,yellow,459,409
487,54,yellow,459,410
488,55,yellow,457,409
489,56,yellow,458,410
490,57,yellow,459,412
491,58,yellow,459,410
492,59,yellow,460,411
493,60,yellow,459,412
494,61,yellow,458,412
495,62,yellow,458,410
496,63,yellow,459,412
497,64,yellow,458,414
498,65,yellow,458,417
499,66,yellow,458,417
500,67,yellow,458,419
501,68,yellow,458,421
502,69,yellow,458,423
503,70,yellow,457,423
504,71,yellow,457,427
505,72,yellow,457,427
506,73,yellow,454,432
507,74,yellow,454,433
508,75,yellow,456,436
509,76,yellow,457,435
510,77,yellow,458,435
511,78,yellow,457,431
512,79,yellow,458,433
512,80,yellow,1040,517
513,81,yellow,1042,517
514,82,yellow,458,434
514,83,yellow,1044,520
515,84,yellow,458,432
516,85,yellow,457,432
517,86,yellow,458,433
518,87,yellow,458,434
519,88,yellow,458,432
520,89,yellow,458,431
521,90,yellow,458,432
522,91,yellow,457,431
523,92,yellow,459,432
524,93,yellow,458,432
525,94,yellow,458,431
526,95,yellow,458,432
527,96,yellow,458,432
528,97,yellow,459,433
529,98,yellow,458,433
530,99,yellow,459,434
531,100,yellow,459,434
532,101,yellow,459,434
533,102,yellow,459,435
534,103,yellow,459,437
535,104,yellow,460,439
536,105,yellow,459,437
537,106,yellow,460,434
538,107,yellow,460,432
539,108,yellow,460,432
540,109,yellow,460,431
541,110,yellow,460,428
542,111,yellow,460,427
543,112,yellow,461,425
544,113,yellow,461,424
545,114,yellow,461,420
546,115,yellow,462,419
547,116,yellow,463,418
548,117,yellow,463,415
549,118,yellow,462,415
550,119,yellow,463,413
551,120,yellow,464,410
552,121,yellow,465,410
553,122,yellow,465,407
554,123,yellow,464,407
555,124,yellow,465,405
556,125,yellow,465,403
557,126,yellow,465,402
558,127,yellow,466,400
559,128,yellow,466,400
560,129,yellow,467,398
561,130,yellow,468,396
562,131,yellow,467,396
563,132,yellow,468,392
564,133,yellow,468,393
565,134,yellow,469,391
566,135,yellow,470,389
567,136,yellow,472,390
568,137,yellow,473,392
569,138,yellow,473,394
570,139,yellow,474,396
571,140,yellow,474,399
572,141,yellow,476,400
573,142,yellow,476,400
574,143,yellow,477,401
575,144,yellow,477,402
576,145,yellow,481,403
577,146,yellow,481,403
578,147,yellow,483,408
579,148,yellow,484,411
580,149,yellow,483,411
581,150,yellow,485,413
582,151,yellow,485,413
583,152,yellow,486,414
584,153,yellow,487,417
585,154,yellow,487,417
586,155,yellow,488,422
587,156,yellow,487,425
588,157,yellow,489,427
589,158,yellow,489,428
590,159,yellow,491,429
591,160,yellow,491,430
592,161,yellow,492,433
593,162,yellow,494,434
594,163,yellow,497,438
595,164,yellow,499,438
596,165,yellow,499,438
597,166,yellow,501,437
598,167,yellow,504,436
599,168,yellow,504,435
600,169,yellow,508,435
601,170,yellow,509,433
602,171,yellow,509,433
603,172,yellow,509,433
604,173,yellow,511,431
605,174,yellow,511,430
606,175,yellow,512,430
607,176,yellow,512,430
608,177,yellow,513,430
609,178,yellow,513,429
610,179,yellow,514,429
611,180,yellow,515,428
612,181,yellow,516,428
613,182,yellow,517,428
614,183,yellow,518,428
615,184,yellow,519,427
616,185,yellow,520,428
617,186,yellow,520,428
618,187,yellow,520,428
619,188,yellow,521,429
620,189,yellow,521,431
621,190,yellow,522,430
622,191,yellow,521,431
623,192,yellow,521,431
624,193,yellow,523,434
625,194,yellow,523,434
626,195,yellow,527,436
626,196,red,598,44
627,197,yellow,528,436
628,198,yellow,526,439
629,199,yellow,527,440
630,200,yellow,528,441
631,201,yellow,529,442
632,202,yellow,530,442
633,203,yellow,532,443
634,204,yellow,533,444
635,205,yellow,536,443
636,206,yellow,538,443
637,207,yellow,540,443
638,208,yellow,541,443
639,209,yellow,541,442
640,210,yellow,543,441
641,211,yellow,543,441
642,212,yellow,545,440
643,213,yellow,546,440
644,214,yellow,547,438
645,215,yellow,547,438
646,216,yellow,549,436
647,217,yellow,549,435
648,218,yellow,552,435
649,219,yellow,552,434
650,220,yellow,553,433
651,221,yellow,553,433
652,222,yellow,555,432
653,223,yellow,555,432
654,224,yellow,553,432
655,225,yellow,547,432
657,226,yellow,561,432
658,227,yellow,560,430
659,228,yellow,555,431
661,229,yellow,558,429
662,230,yellow,558,429
662,231,red,342,208
663,232,yellow,558,429
664,233,yellow,558,429
665,234,yellow,558,429
666,235,yellow,558,429
667,236,yellow,558,429
668,237,yellow,558,429
669,238,yellow,558,429
670,239,yellow,558,429
671,240,yellow,558,429
672,241,yellow,558,429
673,242,yellow,558,429
674,243,yellow,558,429
675,244,yellow,558,429
676,245,yellow,558,429
677,246,yellow,558,429
678,247,yellow,558,429
679,248,yellow,558,429
680,249,yellow,558,429
681,250,yellow,558,429
682,251,yellow,558,429
683,252,yellow,558,429
684,253,yellow,558,429
685,254,yellow,558,429
686,255,yellow,558,429
687,256,yellow,558,429
688,257,yellow,558,429
689,258,yellow,558,429
690,259,yellow,558,429
691,260,yellow,558,429
692,261,yellow,558,429
693,262,yellow,558,429
694,263,yellow,558,429
695,264,yellow,558,429
